"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(19  30),0.125,0.0,2.0,0.125,15,11
(19  31),0.0,0.0,2.0,0.0,10,16
(20  16),8.517699,0.015,2.0,8.517699,20,9
(20  17),8.642699,0.015,2.0,8.642699,15,11
(20  18),8.517699,0.015,2.0,8.517699,30,6
(20  19),8.642699,0.015,2.0,8.642699,25,7
(20  21),0.125,0.0,2.0,0.125,30,6
(20  22),0.0,0.0,2.0,0.0,5,32
(20  23),0.125,0.0,2.0,0.125,30,6
(20  24),0.0,0.0,2.0,0.0,10,16
(20  25),0.125,0.0,2.0,0.125,15,11
(20  26),0.0,0.0,2.0,0.0,25,7
(20  27),0.125,0.0,2.0,0.125,30,6
(20  28),0.0,0.0,2.0,0.0,5,32
(20  29),0.125,0.0,2.0,0.125,15,11
(20  30),0.0,0.0,2.0,0.0,10,16
(20  31),0.125,0.0,2.0,0.125,25,7
(21  16),8.392699,0.015,2.0,8.392699,25,7
(21  17),8.517699,0.015,2.0,8.517699,5,33
(21  18),8.392699,0.015,2.0,8.392699,25,7
(21  19),8.517699,0.015,2.0,8.517699,30,6
(21  20),8.392699,0.015,2.0,8.392699,30,6
(21  22),0.125,0.0,2.0,0.125,5,33
(21  23),0.0,0.0,2.0,0.0,5,32
(21  24),0.125,0.0,2.0,0.125,30,6
(21  25),0.0,0.0,2.0,0.0,20,8
(21  26),0.125,0.0,2.0,0.125,20,9
(21  27),0.0,0.0,2.0,0.0,25,7
(21  28),0.125,0.0,2.0,0.125,20,9
(21  29),0.0,0.0,2.0,0.0,10,16
(21  30),0.125,0.0,2.0,0.125,25,7
(21  31),0.0,0.0,2.0,0.0,30,6
(22  16),8.517699,0.015,2.0,8.517699,25,7
(22  17),8.642699,0.015,2.0,8.642699,10,17
(22  18),8.517699,0.015,2.0,8.517699,25,7
(22  19),8.642699,0.015,2.0,8.642699,20,9
(22  20),8.517699,0.015,2.0,8.517699,25,7
(22  21),8.642699,0.015,2.0,8.642699,10,17
(22  23),0.125,0.0,2.0,0.125,30,6
(22  24),0.0,0.0,2.0,0.0,10,16
(22  25),0.125,0.0,2.0,0.125,25,7
(22  26),0.0,0.0,2.0,0.0,20,8
